carrera,institucion,sede,direccion,web,nombre_pagina,enlace_ubicaciones
Diseño,IP DE CHILE,Sede República,"Av. República 285, Santiago, Santiago",http://www.ipchile.cl/carreras/diseno,ipchile.cl,"https://www.google.com/maps/place/33%C2%B027'07.2%22S+70%C2%B040'03.6%22W/@-33.4520035,-70.6698637,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.452008!4d-70.667675"
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,Campus Peñalolén,"Diagonal Las Torres 2640, Peñalolén, Santiago",http://www.uai.cl/carreras/diseno,uai.cl,"https://www.google.com/maps/place/33%C2%B029'09.4%22S+70%C2%B031'15.4%22W/@-33.4859395,-70.5231417,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.485944!4d-70.520953"
Diseño,UNIVERSIDAD CATÓLICA,Campus Lo Contador,"El Comendador 1916, Providencia, Santiago",http://diseno.uc.cl/,diseno.uc.cl,"https://www.google.com/maps/place/El+Comendador+1916,+Providencia,+Regi%C3%B3n+Metropolitana,+Chile/@-33.4202473,-70.6202817,17z/data=!3m1!4b1!4m5!3m4!1s0x9662cf608d0f317b:0x844e3a8482d4800c!8m2!3d-33.4202518!4d-70.618093"
Diseño,UNIVERSIDAD DE TALCA,Campus Talca,"2 Nte. 685, Talca",http://admision.utalca.cl/carreras/diseno.html,admision.utalca.cl,"https://www.google.com/maps/place/35%C2%B025'31.2%22S+71%C2%B038'42.3%22W/@-35.4253286,-71.6472617,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-35.425333!4d-71.645073"
Diseño,UNIVERSIDAD DEL DESARROLLO,Campus San Carlos de Apoquindo,"Av. Plaza 680, Las Condes, Santiago",http://diseno.udd.cl/,diseno.udd.cl,"https://www.google.com/maps/place/33%C2%B023'28.9%22S+70%C2%B030'07.6%22W/@-33.3913435,-70.5042907,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.391348!4d-70.502102"
Diseño,UNIVERSIDAD DEL DESARROLLO,Campus Ainavillo,"Ainavillo 456, Concepción",http://diseno.udd.cl/carrera/diseno/equipo/concepcion/,diseno.udd.cl,"https://www.google.com/maps/place/36%C2%B049'17.5%22S+73%C2%B002'12.3%22W/@-36.8215247,-73.0389427,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-36.821529!4d-73.036754"
Diseño,UNIVERSIDAD DIEGO PORTALES,Edificio Aulario,"Av. República 180, Santiago, Santiago",http://diseno.udp.cl/,diseno.udp.cl,"https://www.google.com/maps/place/33%C2%B027'02.2%22S+70%C2%B040'02.0%22W/@-33.4506125,-70.6694147,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.450617!4d-70.667226"
Diseño,UNIVERSIDAD FINIS TERRAE,Campus Universitario Avenida Pedro de Valdivia,"Av. Pedro de Valdivia 1224, Providencia, Santiago",http://fad.uft.cl/escuela-de-diseno,fad.uft.cl,"https://www.google.com/maps/place/33%C2%B026'02.3%22S+70%C2%B036'30.4%22W/@-33.4339775,-70.6106357,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.433982!4d-70.608447"
"Diseño Crossmedia en Gráfica, Web y Video Digital",Sede Santiago,UNIVERSIDAD GABRIELA MISTRAL,"Av. Ricardo Lyon 1177, Providencia, Santiago",http://www.ugm.cl/dcm/carrera/perfil/,ugm.cl,"https://www.google.com/maps/place/33%C2%B025'54.8%22S+70%C2%B036'21.8%22W/@-33.4318965,-70.6082327,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.431901!4d-70.606044"
Diseño de Ambiente,IP DUOC UC,Sede Alameda,"Av. España 8, Santiago, Santiago",http://www.duoc.cl/carrera/diseno-de-ambientes,duoc.cl,"https://www.google.com/maps/place/33%C2%B026'56.1%22S+70%C2%B040'13.3%22W/@-33.4489095,-70.6725507,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.448914!4d-70.670362"
Diseño de Ambiente,IP DUOC UC,Sede San Carlos de Apoquindo,"Camino El Alba 12881, Las Condes, Santiago",http://www.duoc.cl/carrera/diseno-de-ambientes,duoc.cl,"https://www.google.com/maps/place/33%C2%B023'58.9%22S+70%C2%B030'22.7%22W/@-33.3996885,-70.5084927,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.399693!4d-70.506304"
Diseño de Imagen Especialidad Moda,UNIACC,Campus Providencia,"Av. Salvador 1200, Providencia, Santiago",http://www.uniacc.cl/diseno-grafico-diurno/,uniacc.cl,"https://www.google.com/maps/place/33%C2%B026'39.4%22S+70%C2%B037'22.7%22W/@-33.4442645,-70.6251697,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.444269!4d-70.622981"
Diseño de Interiores,UNIVERSIDAD DEL PACÍFICO,Sede Las Condes,"Av. Las Condes 11121, Las Condes, Santiago",http://web.upacifico.cl/noticias/categoria/carreras/diseno-de-interiores/,web.upacifico.cl,"https://www.google.com/maps/place/33%C2%B022'43.4%22S+70%C2%B031'43.2%22W/@-33.3787225,-70.5308607,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.378727!4d-70.528672"
