institucion,acreditacion_carrera,Desde,Hasta
CFT INACAP,5 años,01/01/2014,01/01/2019
IP AIEP,5 años,01/01/2015,01/01/2020
IP DUOC UC,6 años,01/01/2011,01/01/2017
IP DUOC UC,7 años,01/01/2010,01/01/2017
IP INACAP,6 años,01/01/2016,01/01/2022
IP LOS LEONES,3 años,01/01/2016,01/01/2019
IP SANTO TOMAS,5 años,01/01/2013,01/01/2018
IP SANTO TOMAS,4 años,01/01/2016,01/01/2020
PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,7 años,01/01/2015,01/01/2022
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,5 años,01/01/2013,01/01/2018
UNIVERSIDAD CATOLICA DE TEMUCO,4 años,01/01/2016,01/01/2020
UNIVERSIDAD DE CHILE,5 años,01/01/2012,01/01/2017
UNIVERSIDAD DE LA SERENA,4 años,01/01/2016,01/01/2020
UNIVERSIDAD DE TALCA,5 años,01/01/2014,01/01/2019
UNIVERSIDAD DE TARAPACA,5 años,01/01/2015,01/01/2020
UNIVERSIDAD DE VALPARAISO,5 años,01/01/2015,01/01/2020
UNIVERSIDAD DE VIÑA DEL MAR,3 años,01/01/2015,01/01/2018
UNIVERSIDAD DEL BIO-BIO,6 años,01/01/2013,01/01/2019
UNIVERSIDAD DEL DESARROLLO,6 años,01/01/2012,01/01/2018
UNIVERSIDAD DEL PACIFICO,5 años,01/01/2014,01/01/2018
UNIVERSIDAD DIEGO PORTALES,6 años,01/01/2016,01/01/2022
UNIVERSIDAD TECNOLOGICA METROPOLITANA,6 años,01/01/2016,01/01/2022
UNIVERSIDAD TECNOLOGICA METROPOLITANA,5 años,01/01/2016,01/01/2021
