tipo_institucion,carrera,escuela,duracion_formal,duracion_real,arancel,arancel_formal,arancel_real
Centro de Formación Técnica,Diseño Gráfico ,CFT ICEL,5,S/I,919000,2297500,S/I
Centro de Formación Técnica,Diseño Gráfico,CFT INACAP,4,S/I,1942000,3884000,S/I
Instituto Profesional,Diseño Gráfico,IP AIEP,8,102,1450000,5800000,7395000
Instituto Profesional,Diseño Gráfico,IP CHILE,8,S/I,1152000,4608000,S/I
Instituto Profesional,Diseño Gráfico,IP DUOC UC,8,122,2280000,9120000,13908000
Instituto Profesional,Diseño Gráfico,IP INACAP,8,118,1556000,6224000,9180400
Universidad,Diseño Gráfico,IP LOS LEONES,8,10,1220000,4880000,6100000
Instituto Profesional,Diseño Gráfico,IP SANTO TOMÁS,8,S/I,1821000,7284000,S/I
Universidad,Diseño Gráfico,U. ANDRÉS BELLO,9,12,4525151,20363179,27150906
Universidad,Diseño Gráfico,U. CATÓLICA,10,12,4775000,23875000,28650000
Universidad,Diseño Gráfico,U. DE CHILE,10,153,3698700,18493500,28295055
Universidad,Diseño Gráfico,U. DE TALCA,9,S/I,3044500,13700250,S/I
Universidad,Diseño Gráfico,U. DE VALPARAÍSO,10,176,3147000,15735000,26749500
Universidad,Diseño Gráfico,U. DEL BIO-BÍO,10,137,2574000,12870000,17631900
Universidad,Diseño Gráfico,U. DEL PACÍFICO,9,116,3990000,17955000,23142000
Universidad,Diseño Gráfico,U. FINIS TERRAE,9,119,4256000,19152000,25323200
Universidad,Diseño Gráfico,U. MAYOR,10,S/I,4371000,21855000,S/I
Universidad,Diseño Gráfico,UAI,10,S/I,5000236,25001180,S/I
Universidad,Diseño Gráfico,UC TEMUCO,10,S/I,3108000,15540000,S/I
Universidad,Diseño Gráfico,UC VALPARAÍSO,9,S/I,4061000,18274500,S/I
Universidad,Diseño Gráfico,UDD,10,123,5947649,29738245,36578041
Universidad,Diseño Gráfico,UDLA,8,S/I,2940250,11761000,S/I
Universidad,Diseño Gráfico,UDP,10,13,4581000,22905000,29776500
Universidad,Diseño Gráfico,UTEM,10,176,2921858,12870000,17631900
Universidad,Diseño Gráfico,UVM,9,S/I,2460305,11071372,S/I
